star_name,spectrograph,Teff,eTeff,logg,feh,efeh,vtur,instr_broad,fits_name
WASP-139,HARPS,5215.0,38,4.35,0.12,0.03,0.82,0.055,WASP-139_HARPSS_115000_378_691_2020_rv.fits
WASP-150,SOPHIE_HE,6486.0,48,4.46,0.27,0.03,1.61,0.135,WASP-150_SOPHIE_HE_2020_rv.fits
WASP-153,SOPHIE_HE,5968.0,50,4.28,0.33,0.04,1.16,0.135,WASP-153_SOPHIE_HE_2020_rv.fits
WASP-166,HARPS,6142.0,22,4.45,0.25,0.02,1.25,0.055,WASP-166_HARPSS_115000_378_691_2020_rv.fits
WASP-173A,HARPS,5803.0,26,4.45,0.21,0.02,1.29,0.055,WASP-173A_HARPSS_115000_378_691_2020_rv.fits
WASP-174,HARPS,6755.0,68,4.83,0.30,0.04,2.09,0.055,WASP-174_HARPSS_115000_378_691_2020_rv.fits	
WASP-190,HARPS,6730.0,55,4.52,0.15,0.04,2.07,0.055,WASP-190_HARPSS_115000_378_691_2020_rv.fits
WASP-20,HARPS,6032.0,16,4.43,0.09,0.01,1.24,0.055,WASP-20_HARPSS_115000_378_691_2020_rv.fits
WASP-31,HARPS,6380.0,36,4.59,-0.08,0.03,1.58,0.055,WASP-31_HARPSS_115000_378_691_2020_rv.fits
WASP-75,UVES,6102.0,27,4.37,0.24,0.02,1.21,0.061,WASP-75_UVES_107200_472_683_2020_rv.fits
WASP-84,HARPS,5232.0,41,4.30,0.05,0.03,1.03,0.055,WASP-84_HARPSN_2020_rv.fits
WASP-87A,UVES,6529.0,89,4.51,-0.28,0.06,2.10,0.061,WASP-87A_UVES_107200_472_683_2020_rv.fits
WASP-90,UVES,6381.0,43,4.31,0.19,0.03,1.49,0.061,WASP-90_UVES_107200_472_683_2020_rv.fits
WASP-92,SOPHIE_HE,6039.0,67,4.21,0.10,0.05,0.95,0.135,WASP-92_SOPHIE_HE_2020_rv.fits
XO-7,SOPHIE_HR,6109.0,39,4.30,0.40,0.03,1.22,0.072,XO-7_SOPHIE_HR_2020_rv.fits
